Input,Output,SMA,WMA,EMA,SG
384,B22-2,B22-2,B22-2,B17-2,B22-2
385,B22-2,B22-2,B22-2,B17-2,B22-2
386,B22-2,B22-2,B22-2,B17-2,B22-2
387,B22-2,B22-2,B22-2,B17-2,B22-2
388,B22-2,B22-2,B22-2,B17-2,B22-2
389,B22-2,B22-2,B22-2,B17-2,B22-2
390,B22-2,B22-2,B22-2,B17-2,B22-2
391,B22-2,B22-2,B22-2,B17-2,B22-2
392,B22-2,B22-2,B22-2,B17-2,B22-2
393,B22-2,B22-2,B22-2,B17-2,B22-2
394,B22-2,B22-2,B22-2,B17-2,B22-2
395,B22-2,B22-2,B22-2,B17-2,B22-2
396,B22-2,B22-2,B22-2,B17-2,B22-2
397,B22-2,B22-2,B22-2,B17-2,B22-2
398,B22-2,B22-2,B22-2,B17-2,B22-2
399,B22-2,B22-2,B22-2,B17-2,B22-2
400,B22-2,B22-2,B22-2,B17-2,B22-2
401,B22-2,B22-2,B22-2,B17-2,B22-2
402,B22-2,B22-2,B22-2,B17-2,B22-2
403,B22-2,B22-2,B22-2,B17-2,B22-2
404,B22-2,B22-2,B22-2,B17-2,B22-2
405,B22-2,B22-2,B22-2,B17-2,B22-2
406,B22-2,B22-2,B22-2,B17-2,B22-2
407,B22-2,B22-2,B22-2,B17-2,B22-2
408,B22-2,B22-2,B22-2,B17-2,B22-2
409,B22-2,B22-2,B22-2,B17-2,B22-2
410,B22-2,B22-2,B22-2,B17-2,B22-2
411,B22-2,B22-2,B22-2,B17-2,B22-2
412,B22-2,B22-2,B22-2,B17-2,B22-2
413,B22-2,B22-2,B22-2,B17-2,B22-2
414,B22-2,B22-2,B22-2,B17-2,B22-2
415,B22-2,B22-2,B22-2,B17-2,B22-2
416,B22-2,B22-2,B22-2,B17-2,B22-2
417,B22-2,B22-2,B22-2,B17-2,B22-2
418,B22-2,B22-2,B22-1,B17-2,B22-2
419,B22-2,B22-2,B22-2,B17-2,B22-2
420,B22-2,B22-2,B22-2,B17-2,B22-2
421,B22-2,B22-2,B22-2,B17-2,B22-2
422,B22-2,B22-2,B22-2,B17-2,B22-1
423,B35-1,B22-2,B22-2,B17-2,B22-1
424,B22-2,B22-2,B22-2,B17-2,B22-1
425,B22-2,B22-2,B22-2,B17-2,B22-2
426,B22-2,B22-2,B22-2,B17-2,B22-2
427,B22-2,B21-1,B21-1,B17-2,B22-2
428,B22-2,B21-1,B21-1,B17-2,B22-2
429,B22-2,B21-1,B21-1,B17-2,B22-2
430,B22-2,B21-1,B21-1,B17-2,B22-2
431,B22-2,B21-1,B21-1,B17-2,B20-2
432,B15-2,B21-1,B21-1,B17-2,B19-1
433,B22-2,B21-1,B21-1,B17-2,B20-2
434,B22-2,B21-1,B21-1,B17-2,B22-2
435,B22-2,B21-1,B21-1,B17-2,B22-2
436,B22-2,B21-1,B20-2,B17-2,B22-2
437,B22-2,B21-1,B21-1,B17-2,B22-2
438,B22-2,B21-1,B21-1,B17-2,B22-2
439,B22-2,B21-1,B21-1,B18-1,B22-2
440,B22-2,B21-1,B21-1,B18-1,B20-2
441,B15-2,B21-1,B21-1,B18-1,B19-1
442,B22-2,B21-1,B21-1,B18-1,B20-2
443,B22-2,B21-1,B21-1,B18-1,B22-2
444,B22-2,B21-1,B21-1,B18-1,B22-2
445,B22-2,B21-1,B21-1,B18-1,B22-2
446,B22-2,B20-2,B20-2,B18-1,B22-2
447,B22-2,B20-2,B19-1,B18-1,B22-2
448,B22-2,B20-2,B18-2,B18-1,B22-2
449,B22-2,B19-1,B18-2,B18-1,B21-1
450,B17-1,B19-2,B18-1,B18-1,B18-2
451,B15-1,B19-2,B18-1,B18-1,B15-1
452,B15-2,B19-2,B19-2,B18-1,B15-2
453,B15-2,B19-2,B19-2,B18-1,B15-2
454,B15-2,B19-2,B20-1,B18-1,B17-2
455,B35-1,B19-2,B20-2,B18-1,B20-1
456,B22-2,B19-2,B21-1,B18-1,B22-1
457,B22-2,B20-1,B21-1,B18-1,B22-2
458,B22-2,B21-1,B21-1,B18-1,B22-2
459,B22-2,B21-1,B22-2,B18-1,B22-2
460,B22-2,B22-2,B22-2,B18-1,B22-2
461,B22-2,B22-2,B22-2,B18-1,B22-2
462,B22-2,B22-2,B22-1,B18-1,B22-2
463,B22-2,B22-2,B22-1,B18-1,B22-2
464,B22-2,B21-1,B21-2,B18-1,B22-2
465,B22-2,B20-2,B19-2,B18-1,B21-1
466,B22-2,B20-1,B19-2,B18-1,B23-2
467,B39-2,B19-2,B17-2,B18-1,B24-1
468,B22-2,B19-2,B17-2,B18-1,B22-1
469,None,B19-2,B18-1,B18-1,B13-1
470,B8-1,B19-2,B19-2,B18-1,B14-1
471,B37-1,B19-2,B19-2,B18-1,B14-1
472,B9-1,B19-2,B20-1,B18-1,B30-4
473,B33-2,B19-2,B20-1,B18-1,B17-2
474,B24-2,B19-2,B21-1,B18-1,B23-2
475,B22-2,B19-2,B21-1,B18-1,B44-4
476,B22-2,B21-2,B21-1,B18-1,B22-2
477,B22-2,B21-2,B22-1,B18-1,B22-2
478,B22-2,B22-1,B22-1,B18-1,B22-2
479,B22-2,B22-1,B21-2,B18-1,B22-2
480,B22-2,B22-1,B21-2,B18-1,B21-1
481,B22-2,B22-1,B21-2,B18-1,B23-2
482,B39-1,B20-1,B18-1,B18-1,B36-2
483,B31-2,B20-1,B33-1,B18-1,B35-1
484,B21-2,B34-2,B33-1,B18-1,B34-2
485,None,B34-2,B34-2,B18-1,B38-2
486,B36-1,B34-2,B33-1,B18-1,B29+-1
487,B1-1,B34-2,B34-2,B18-1,B13-2
488,B39-2,B32-2,B31-1,B18-1,B29+-1
489,B33-2,B32-2,B31-1,B18-1,B39-2
490,B26-1,B32-2,B32-2,B18-1,B20-1
491,B15-2,B33-1,B33-1,B18-1,B22-1
492,B37-1,B33-1,B35-1,B18-1,B14-1
493,B29-3,B35-1,B36-2,B18-1,B29-11
494,B32-2,B35-1,B37-1,B18-1,B29+-1
495,B39-3,B36-2,B37-2,B18-1,B37-4
496,B39-3,B36-2,B37-4,B18-1,B39-4
497,B39-4,B37-2,B37-4,B18-1,B39-4
498,B39-4,B37-2,B39-2,B18-1,B39-4
499,B39-4,B39-2,B39-2,B18-1,B39-4
500,B39-2,B39-2,B39-2,B18-1,B39-4
501,B39-4,B39-2,B39-2,B18-1,B39-2
502,B39-2,B39-4,B39-2,B18-1,B39-4
503,B39-4,B39-2,B39-2,B18-1,B39-2
504,B39-2,B39-2,B39-2,B18-1,B39-2
505,B39-2,B39-2,B39-2,B18-1,B39-2
506,B39-2,B39-2,B39-2,B18-1,B39-2
507,B39-4,B39-2,B39-2,B18-1,B39-2
508,B39-2,B39-2,B39-2,B18-1,B39-2
509,B39-2,B39-2,B37-4,B18-1,B39-2
510,B39-4,B39-2,B37-4,B18-1,B39-2
511,B39-2,B37-1,B35-1,B18-1,B39-4
512,B39-4,B36-2,B34-2,B18-1,B39-4
513,B39-3,B34-2,B31-1,B18-1,B37-1
514,B19-2,B34-2,B32-2,B18-1,B38-2
515,B39-2,B33-1,B31-1,B18-1,B16-1
516,B1-2,B33-1,B32-2,B18-1,B29-11
517,B32-1,B33-1,B33-1,B18-1,B29-6
518,B7-1,B33-1,B34-2,B18-1,B31-1
519,B39-1,B33-1,B35-1,B18-1,B16-1
520,B15-2,B34-2,B36-2,B18-1,B36-2
521,B39-1,B34-2,B37-1,B18-1,B36-2
